[2024-11-27 09:28:06.993]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 09:28:07.002]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 09:28:07.315]	 Installing "tmux-cpu"
[2024-11-27 09:28:07.317]	 Installing "tmux-copycat"
[2024-11-27 09:28:07.317]	 Installing "tmux-continuum"
[2024-11-27 09:28:07.317]	 Installing "tmux-resurrect"
[2024-11-27 09:28:07.318]	 Installing "tmux-pain-control"
[2024-11-27 09:28:07.321]	 Installing "tmux-sensible"
[2024-11-27 09:28:07.321]	 Installing "tokyo-night-tmux"
[2024-11-27 09:28:07.322]	 Installing "tmux.nvim"
[2024-11-27 09:28:08.040]	   "tmux.nvim" download success
[2024-11-27 09:28:08.041]	   "tmux-continuum" download success
[2024-11-27 09:28:08.041]	   "tmux-sensible" download success
[2024-11-27 09:28:08.071]	   "tmux-cpu" download success
[2024-11-27 09:28:08.072]	   "tmux-copycat" download success
[2024-11-27 09:28:08.082]	   "tmux-pain-control" download success
[2024-11-27 09:28:08.126]	   "tokyo-night-tmux" download success
[2024-11-27 09:28:10.517]	   "tmux-resurrect" download success
[2024-11-27 09:28:10.529]	 Done.

[2024-11-27 09:28:14.776]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 09:28:14.786]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 09:28:14.968]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 09:28:15.225]	 Updating all plugins!
[2024-11-27 09:28:15.226]	 
[2024-11-27 09:28:15.252]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-27 09:28:15.552]	 Removing "tmux-continuum"
[2024-11-27 09:28:15.558]	   "tmux-continuum" clean success
[2024-11-27 09:28:15.560]	 Removing "tmux-copycat"
[2024-11-27 09:28:15.566]	   "tmux-copycat" clean success
[2024-11-27 09:28:15.568]	 Removing "tmux-cpu"
[2024-11-27 09:28:15.574]	   "tmux-cpu" clean success
[2024-11-27 09:28:15.576]	 Removing "tmux-pain-control"
[2024-11-27 09:28:15.580]	   "tmux-pain-control" clean success
[2024-11-27 09:28:15.582]	 Removing "tmux-resurrect"
[2024-11-27 09:28:15.591]	   "tmux-resurrect" clean success
[2024-11-27 09:28:15.592]	 Removing "tmux-sensible"
[2024-11-27 09:28:15.596]	   "tmux-sensible" clean success
[2024-11-27 09:28:15.597]	 Removing "tmux.nvim"
[2024-11-27 09:28:15.604]	   "tmux.nvim" clean success
[2024-11-27 09:28:15.605]	 Removing "tokyo-night-tmux"
[2024-11-27 09:28:15.610]	   "tokyo-night-tmux" clean success
[2024-11-27 09:28:15.621]	 Done.

[2024-11-27 09:28:23.533]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 09:28:23.542]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 09:28:23.704]	 Installing "tmux-copycat"
[2024-11-27 09:28:23.705]	 Installing "tmux-cpu"
[2024-11-27 09:28:23.705]	 Installing "tmux-resurrect"
[2024-11-27 09:28:23.707]	 Installing "tmux-continuum"
[2024-11-27 09:28:23.708]	 Installing "tmux-pain-control"
[2024-11-27 09:28:23.710]	 Installing "tokyo-night-tmux"
[2024-11-27 09:28:23.710]	 Installing "tmux-sensible"
[2024-11-27 09:28:23.710]	 Installing "tmux.nvim"
[2024-11-27 09:28:24.292]	   "tmux-sensible" download success
[2024-11-27 09:28:24.306]	   "tmux.nvim" download success
[2024-11-27 09:28:24.336]	   "tmux-continuum" download success
[2024-11-27 09:28:24.337]	   "tmux-cpu" download success
[2024-11-27 09:28:24.377]	   "tmux-pain-control" download success
[2024-11-27 09:28:24.425]	   "tmux-copycat" download success
[2024-11-27 09:28:24.480]	   "tokyo-night-tmux" download success
[2024-11-27 09:28:25.587]	   "tmux-resurrect" download success
[2024-11-27 09:28:25.598]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 09:28:26.606]	 Updating all plugins!
[2024-11-27 09:28:26.606]	 
[2024-11-27 09:28:26.983]	   "tmux-copycat" update success
[2024-11-27 09:28:26.984]	     | Already up to date.
[2024-11-27 09:28:26.988]	   "tmux-cpu" update success
[2024-11-27 09:28:26.990]	     | Already up to date.
[2024-11-27 09:28:27.070]	   "tmux-continuum" update success
[2024-11-27 09:28:27.074]	     | Already up to date.
[2024-11-27 09:28:27.089]	   "tmux-resurrect" update success
[2024-11-27 09:28:27.090]	   "tmux-pain-control" update success
[2024-11-27 09:28:27.091]	     | Already up to date.
[2024-11-27 09:28:27.091]	   "tmux-sensible" update success
[2024-11-27 09:28:27.092]	     | Already up to date.
[2024-11-27 09:28:27.094]	     | Already up to date.
[2024-11-27 09:28:27.098]	   "tokyo-night-tmux" update success
[2024-11-27 09:28:27.099]	     | Already up to date.
[2024-11-27 09:28:27.117]	   "tmux.nvim" update success
[2024-11-27 09:28:27.118]	     | Already up to date.
[2024-11-27 09:28:27.127]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-11-27 09:28:27.170]	 Done.

[2024-11-27 09:36:33.394]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 09:36:33.395]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tmux-plugins/tmux-pain-control tmux-plugins/tmux-sensible janoamaral/tokyo-night-tmux aserowy/tmux.nvim
[2024-11-27 09:36:33.404]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 09:36:33.404]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/install_plugins
[2024-11-27 09:36:33.613]	 Already installed "tokyo-night-tmux"
[2024-11-27 09:36:33.617]	 Already installed "tmux-continuum"
[2024-11-27 09:36:33.617]	 Already installed "tmux-copycat"
[2024-11-27 09:36:33.617]	 Already installed "tmux-cpu"
[2024-11-27 09:36:33.617]	 Already installed "tmux-sensible"
[2024-11-27 09:36:33.617]	 Already installed "tmux-pain-control"
[2024-11-27 09:36:33.617]	 Already installed "tmux-resurrect"
[2024-11-27 09:36:33.617]	 Already installed "tmux.nvim"
[2024-11-27 09:36:33.615]	 Already installed "tmux-copycat"
[2024-11-27 09:36:33.617]	 Already installed "tmux-resurrect"
[2024-11-27 09:36:33.617]	 Already installed "tmux-cpu"
[2024-11-27 09:36:33.617]	 Already installed "tmux-pain-control"
[2024-11-27 09:36:33.617]	 Already installed "tmux-continuum"
[2024-11-27 09:36:33.617]	 Already installed "tokyo-night-tmux"
[2024-11-27 09:36:33.618]	 Already installed "tmux-sensible"
[2024-11-27 09:36:33.619]	 Already installed "tmux.nvim"
[2024-11-27 09:36:33.627]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 09:36:33.629]	 Invoking /Users/sean/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-11-27 09:36:33.744]	 Updating all plugins!
[2024-11-27 09:36:33.745]	 
[2024-11-27 09:36:34.282]	   "tmux-copycat" update success
[2024-11-27 09:36:34.286]	     | Already up to date.
[2024-11-27 09:36:34.294]	   "tmux-continuum" update success
[2024-11-27 09:36:34.296]	     | Already up to date.
[2024-11-27 09:36:34.336]	   "tmux-pain-control" update success
[2024-11-27 09:36:34.336]	   "tmux-cpu" update success
[2024-11-27 09:36:34.339]	     | Already up to date.
[2024-11-27 09:36:34.342]	     | Already up to date.
[2024-11-27 09:36:34.347]	   "tmux-resurrect" update success
[2024-11-27 09:36:34.350]	     | Already up to date.
[2024-11-27 09:36:34.364]	   "tokyo-night-tmux" update success
[2024-11-27 09:36:34.367]	     | Already up to date.
[2024-11-27 09:36:34.385]	   "tmux.nvim" update success
[2024-11-27 09:36:34.387]	     | Already up to date.
[2024-11-27 09:36:34.387]	   "tmux-sensible" update success
[2024-11-27 09:36:34.388]	     | Already up to date.
[2024-11-27 09:36:33.744]	 Updating all plugins!
[2024-11-27 09:36:33.744]	 
[2024-11-27 09:36:34.284]	   "tmux-copycat" update success
[2024-11-27 09:36:34.285]	   "tmux-cpu" update success
[2024-11-27 09:36:34.289]	     | Already up to date.
[2024-11-27 09:36:34.290]	     | Already up to date.
[2024-11-27 09:36:34.291]	   "tmux-resurrect" update success
[2024-11-27 09:36:34.294]	     | Already up to date.
[2024-11-27 09:36:34.330]	   "tmux-pain-control" update success
[2024-11-27 09:36:34.333]	     | Already up to date.
